"Country/Region Province.State","Latitude","Longtitude","Sum.of.all.patients","Mean.number.of.patients","Standard.deviation.of.mean"
"Afghanistan ",33.93911,67.709953,129988469,113725,73761
"Albania ",41.1533,20.1683,185562654,162347,124244
"Algeria ",28.0339,1.6596,182741650,159878,100780
"Andorra ",42.5063,1.5218,24547525,21476,18129
"Angola ",-11.2027,17.8739,60025203,52515,42139
"Antarctica ",-71.9499,23.347,4961,4,5
"Antigua and Barbuda ",17.0608,-61.7964,4310255,3771,3756
"Argentina ",-38.4161,-63.6167,5625482921,4921682,3829727
"Armenia ",40.0691,45.0382,285491323,249773,163789
"Australia Australian Capital Territory",-35.4735,149.0124,68002520,59494,87412
"Australia New South Wales",-33.8688,151.2093,1235098031,1080575,1497649
"Australia Northern Territory",-12.4634,130.8456,33394958,29216,41498
"Australia Queensland",-27.4698,153.0251,557839164,488048,696101
"Australia South Australia",-34.9285,138.6007,253224568,221543,330151
"Australia Tasmania",-42.8821,147.3272,81996866,71738,107241
"Australia Victoria",-37.8136,144.9631,927696252,811632,1106311
"Australia Western Australia",-31.9505,115.8605,351612522,307622,493783
"Austria ",47.5162,14.5501,2210457634,1933908,2157325
"Azerbaijan ",40.1431,47.5769,493546661,431799,322581
"Bahamas ",25.025885,-78.035889,21502145,18812,14464
"Bahrain ",26.0275,50.55,357306683,312604,256710
"Bangladesh ",23.685,90.3563,1309367681,1145553,776544
"Barbados ",13.1939,-59.5432,39648490,34688,41884
"Belarus ",53.7098,27.9534,593651097,519379,384887
"Belgium ",50.8333,4.469936,2280497649,1995186,1808751
"Belize ",17.1899,-88.4976,34174927,29899,27460
"Benin ",9.3077,2.3158,16903440,14788,11698
"Bhutan ",27.5142,90.4336,22329795,19536,27001
"Bolivia ",-16.2902,-63.5887,605712604,529932,414859
"Bosnia and Herzegovina ",43.9159,17.6791,247573190,216599,152193
"Botswana ",-22.3285,24.6849,171155988,149742,136450
"Brazil ",-14.235,-51.9253,21182690594,18532537,12895588
"Brunei ",4.5353,114.7277,80268412,70226,100820
"Bulgaria ",42.7339,25.4858,683611436,598085,500096
"Burkina Faso ",12.2383,-1.5616,14552323,12731,8240
"Burma ",21.9162,95.956,374668250,327793,261945
"Burundi ",-3.3731,29.9189,23149109,20252,20782
"Cabo Verde ",16.5388,-23.0418,37537089,32840,24044
"Cambodia ",11.55,104.9167,79416169,69480,62399
"Cameroon ",3.848,11.5021,83367548,72937,47180
"Canada Alberta",53.9333,-116.5765,340124808,297572,241343
"Canada British Columbia",53.7267,-127.6476,216670574,189563,155199
"Canada Diamond Princess",0,0,32,0,0
"Canada Grand Princess",0,0,14133,12,2
"Canada Manitoba",53.7609,-98.8139,81375007,71194,60180
"Canada New Brunswick",46.5653,-66.4619,30028058,26271,33567
"Canada Newfoundland and Labrador",53.1355,-57.6604,19711484,17245,22501
"Canada Northwest Territories",64.8255,-124.8457,4789531,4190,5168
"Canada Nova Scotia",44.682,-63.7443,45907761,40164,52629
"Canada Nunavut",70.2998,-83.1076,1624401,1421,1512
"Canada Ontario",51.2538,-85.3232,784687843,686516,572857
"Canada Prince Edward Island",46.5107,-63.4168,17532450,15338,22032
"Canada Quebec",52.9399,-73.5491,637889732,558083,464648
"Canada Saskatchewan",52.9399,-106.4509,79220439,69309,59028
"Canada Yukon",64.2823,-135,2095194,1833,2081
"Central African Republic ",6.6111,20.9394,10342778,9048,5350
"Chad ",15.4542,18.7322,5205330,4554,2778
"Chile ",-35.6751,-71.543,2352869754,2058503,1748797
"China Anhui",31.8257,117.2264,1315405,1150,353
"China Beijing",40.1824,116.4142,5297985,4635,9998
"China Chongqing",30.0572,107.874,2028622,1774,3570
"China Fujian",26.0789,117.9874,2915562,2550,3993
"China Gansu",35.7518,104.2861,593639,519,525
"China Guangdong",23.3417,113.4244,13185220,11535,24918
"China Guangxi",23.8298,108.7881,1708565,1494,2966
"China Guizhou",26.8154,106.8748,439437,384,616
"China Hainan",19.1959,109.7453,2168803,1897,3618
"China Hebei",39.549,116.1306,1537592,1345,845
"China Heilongjiang",47.862,127.7615,2449734,2143,1524
"China Henan",37.8957,114.9042,2953260,2583,2350
"China Hong Kong",22.3,114.2,663329878,580341,898873
"China Hubei",30.9756,112.2707,76959226,67330,7873
"China Hunan",27.6104,111.7088,1797419,1572,1487
"China Inner Mongolia",44.0935,113.9448,1920891,1680,2470
"China Jiangsu",32.9711,119.455,1806179,1580,1177
